userId,userName,password,email,usertype,address,locationLat,locationLong,location
20,Robert,robert,robert@gmail.com,doctor,"725 Albany St #3b, Boston, MA 02118",42.3348727,-71.07434350000001,"Boston, MA"
21,Edward,edward,edward@gmail.com,doctor,"175 Remsen St 12th floor, Brooklyn, NY 11201",40.6934999,-73.9935536,"Brooklyn, NY"
22,Ken,ken,ken@gmail.com,doctor,"110 E 40th St Floor 6, New York, NY 10016",40.7504117,73.980187,"New York, NY"
23,Wong,wong,wong@gmail.com,doctor,"945 Hildebrand Ln NE, Bainbridge Island, WA 98110",47.63361870000001,-122.51992709999999,"Bainbridge Island, WA"
24,John,john,john@gmail.com,doctor,"9155 SW Barnes Rd #430, Portland, OR 97225",45.510411,-122.77230800000001,"Portland, OR"
25,Erin McCann,1234,erin@gmail.com,doctor,"1658 N Milwaukee Ave, Chicago, IL 60647",41.911521,-87.6820203,"Chicago, IL"
26,Jennifer N. Ouchi,1234,jennifer@gmail.com,doctor,"8635 W 3rd St, Los Angeles, CA 90048",34.0739596,-118.38310859999999,"Los Angeles, CA"
27,Nayantara,1234,Nayantara@gmail.com,doctor,"2250 Hayes St Ste. 612, San Francisco, CA 94117",37.77315120000001,-122.45560970000001,"San Francisco, CA"
28,Liu,1234,liu@gmail.com,doctor,"400 Parnassus Ave Suite A-550, San Francisco, CA 94143",37.7645542,-122.45944479999999,"San Francisco, CA"
29,Sujani,1234,Sujani@gmail.com,doctor,"1 Gustave L. Levy Pl, New York, NY 10029",40.7900079,-73.9559261,"New York, NY "
30,Joseph,1234,Joseph@gmail.com,doctor,"6835 Austin Center Blvd, Austin, TX 78731",30.3512728,-97.752607,"Austin, TX"
31,Rosen,1234,Rosen@gmail.com,doctor,"3000 N Interstate 35 Frontage Rd, Austin, TX 78705",30.2884636,-97.7264813,"Austin, TX"
32,Ayman,1234,Ayman@gmail.com,doctor,"4302 Alton Rd #400, Miami Beach, FL 33140",25.8140468,-80.1418685,"Miami Beach, FL"
33,Michael,1234,Michael@gmail.com,doctor,"4308 Alton Rd, Miami Beach, FL 33140",25.8148808,-80.1426972,"Miami Beach, FL"
34,Gerald,1234,Gerald@gmail.com,doctor,"321 N Kuakini St STE 802, Honolulu, HI 96817",21.3215492,-157.858117,"Honolulu, HI"
35,Kore,1234,Kore@gmail.com,doctor,"1329 Lusitana St #307, Honolulu, HI 96813",21.3076091,-157.8542824,"Honolulu, HI"
36,Cho,1234,Cho@gmail.com,doctor,"9155 SW Barnes Rd #430, Portland, OR 97225",45.510411,-122.7723133,"Portland, OR"
37,Paul,1234,Paul@gmail.com,customer,"5100 Iroquois Dr, Ewa Beach, HI 96706",21.3250438,-157.9873356,"Ewa Beach, HI"
38,Steven,1234,Steven@gmail.com,customer,"94 Waipahu St, Waipahu, HI 96797",21.3860078,-158.00893069999998,"Waipahu, HI"
39,Andrew,1234,Andrew@gmail.com,customer,"761 Wakea St, Kapolei, HI 96707",21.330071399999998,-158.079894,"Kapolei, HI"
40,Kenneth,1234,Kenneth@gmail.com,customer,"10599 Wilshire Blvd #110, Los Angeles, CA 90024",34.0623202,-118.4357091,"Los Angeles, CA"
41,Joshua,1234,Joshua@gmail.com,customer,"232 E 2nd St, Los Angeles, CA 90012",34.049037,-118.244349,"Los Angeles, CA"
42,Kevin,1234,Kevin@gmail.com,customer,"6201 Hollywood Blvd, Los Angeles, CA 90028",34.1020008,-118.32624340000001,"Los Angeles, CA"
43,Brian,1234,Brian@gmail.com,customer,"1000 Abberly Village Cir, West Columbia, SC 29169",34.012205200000004,-81.1155177,"West Columbia, SC"
44,George,1234,George@gmail.com,customer,"127 State St, West Columbia, SC 29169",33.993752799999996,-81.0579316,"West Columbia, SC"
45,Alan,1234,Alan@gmail.com,customer,"800 State St, West Columbia, SC 29169",33.9866624,-81.0590445,"West Columbia, SC"
46,Juan,1234,Juan@gmail.com,customer,"4 Lucy St, Boston, MA 02121",42.3242775,-71.062325,"Boston, MA"
47,Logan,1234,Logan@gmail.com,customer,"55 Traveler St, Boston, MA 02118",42.3440127,-71.0625442,"Boston, MA"
48,Billy,1234,Billy@gmail.com,customer,"101 S Huntington Ave, Boston, MA 02130",42.3294042,-71.1115223,"Boston, MA"
49,Dylan,1234,Dylan@gmail.com,customer,"900 West Ave, Miami Beach, FL 33139",25.7794671,-80.14255949999999,"Miami Beach, FL "
50,Sean,1234,Sean@gmail.com,customer,"3929 Meridian Ave, Miami Beach, FL 33140",25.812443,-80.13316259999999,"Miami Beach, FL "
51,Joe,1234,Joe@gmail.com,customer,"727 Collins Ave, Miami Beach, FL 33139",25.777420199999998,-80.1321071,"Miami Beach, FL "
52,Jesse,1234,Jesse@gmail.com,customer,"8800 N Interstate Hwy 35, Austin, TX 78753",30.352214899999996,-97.6928411,"Austin, TX"
53,Noah,1234,Noah@gmail.com,customer,"10600 Brezza Ln, Austin, TX 78748",30.1508203,-97.7958844,"Austin, TX"
54,Lawrence,1234,Lawrence@gmail.com,customer,"1720 Ala Moana Blvd, Honolulu, HI 96815",21.286062899999997,-157.8389005,"Honolulu, HI"
55,Carl,1234,Carl@gmail.com,customer,"1300 Tribute Center Drive, Raleigh, NC 27612",35.849668900000005,-78.6908377,"Raleigh, NC"
56,Keith,1234,Keith@gmail.com,customer,"141 Park at N Hills St STE 110, Raleigh, NC 27609",35.849668900000005,-78.6908377,"Raleigh, NC"
57,Gerald,1234,Gerald@gmail.com,customer,"6350 Terra Verde Dr, Raleigh, NC 27609",35.8678324,-78.63982850000001,"Raleigh, NC"
58,Dennis,1234,Dennis@gmail.com,customer,"541 Homestead Ln NE, Bainbridge Island, WA 98110",47.629461,-122.51897369999999,"Bainbridge Island, WA"
59,Alexander,1234,Alexander@gmail.com,customer,"4779 Lynwood Center Rd NE, Bainbridge Island, WA 98110",47.6065271,-122.54795279999999,"Bainbridge Island, WA"
60,Patrick,1234,Patrick@gmail.com,customer,"220 Parfitt Way SW # 220, Bainbridge Island, WA 98110",47.6232989,-122.52268899999999,"Bainbridge Island, WA"
61,Chicago Pediatric and Neonatology,1234,xx@gmail.com,hospital company,"7447 W Talcott Ave # 561, Chicago, IL 60631",41.9876675,-87.81455140000001,"Chicago, IL"
62,Donohoe Pediatrics,1234,xx@gmail.com,hospital company,"3916 N Damen Ave., Chicago, IL 60618",41.95297720000001,-87.6790409,"Chicago, IL"
63,MIRACLE MILE PEDIATRICS,1234,xdx@gmail.com,hospital company,"6221 Wilshire Blvd #215, Los Angeles, CA 90048",34.063501,-118.3640248,"Los Angeles, CA"
64,San Francisco Medical Center and Medical Offices,1234,xxxx@gmail.com,hospital company,"2238 Geary Blvd 7th floor, San Francisco, CA 94115",37.7833688,-122.44067749999999,"San Francisco, CA"
65,Brooklyn Hospital Center-Hematology,1234,dc3@gmail.com,hospital company,"121 Dekalb Ave, Brooklyn, NY 11201",40.7240049,-73.9789535,"Brooklyn, NY"
66,Lenox Hill Hospital,1234,xd9x@gmail.com,hospital company,"100 E 77th St, New York, NY 10075",40.691265,-73.97777430000001,"New York, NY"
67,Mount Sinai Kravis Childrens Hospital,1234,xx3d@gmail.com,hospital company,"1184 5th Ave, New York, NY 10029",40.790057899999994,-73.95385920000001,"New York, NY"
68,St. David`s South Austin Medical Center,1234,xxse@gmail.com,hospital company,"901 W Ben White Blvd, Austin, TX 78704",30.2261149,-97.77456740000001,"Austin, TX"
69,Baylor Scott & White Medical Center,1234,wsw@gmail.com,hospital company,"5245 W US Hwy 290 Service Rd, Austin, TX 78735",30.235836199999998,-97.8344989,"Austin, TX"
70,Shoal Creek Hospital,1234,eee@gmail.com,hospital company,"3529 Mills Ave, Austin, TX 78731",30.3059555,-97.7484764,"Austin, TX"
71,Orlando Health Arnold Palmer Hospital for Children,1234,rrr@gmail.com,hospital company,"92 W Miller St, Orlando, FL 32806",28.4590107,-81.4968755,"Orlando, FL "
72,Orlando Health Heart & Vascular Institute,1234,rg@gmail.com,hospital company,"1222 S Orange Ave, Orlando, FL 32806",28.5233918,-81.3800672,"Orlando, FL "
73,South Miami Hospital,1234,re@gmail.com,hospital company,"6200 SW 73rd St, Miami, FL 33143",25.7029961,-80.29435749999999,"Miami, FL"
74,Mercy Hospital,1234,fdsg@gmail.com,hospital company,"3663 S Miami Ave, Miami, FL 33133",25.7400049,-80.213526,"Miami, FL"
75,Hawaii Cancer Care,1234,fgs@gmail.com,hospital company,"1329 Lusitana St #307, Honolulu, HI 96813",21.3076091,-157.85208830000002,"Honolulu, HI"
76,Straub Outpatient Treatment Center,1234,rgl@gmail.com,hospital company,"888 S King St, Honolulu, HI 96813",21.302581399999998,-157.8501322,"Honolulu, HI"
77,Howard County General Hospital,1234,fg@gmail.com,hospital company,"5755 Cedar Ln, Columbia, MD 21044",39.21411129999999,-76.885968,"Columbia, MD"
78,Oncology/Hematology California Pacific Medical Center,1234,468d@gmail.com,hospital company,"2238 Geary Blvd 7th floor, San Francisco, CA 94115",37.7833688,-122.44067749999999,"San Francisco, CA"
79,Pali Momi Medical Center,1234,juy@gmail.com,hospital company,"98-1079 Moanalua Rd, Aiea, HI 96701",21.3835987,-157.93829730000002,"Aiea, HI"
80,Duke Raleigh Hospital,1234,uj@gmail.com,hospital company,"3400 Wake Forest Rd, Raleigh, NC 27609",35.828418799999994,-78.6183679,"Raleigh, NC"
81,WakeMed North Hospital,1234,jm@gmail.com,hospital company,"10000 Falls of Neuse Rd, Raleigh, NC 27614",35.909125200000005,-78.5977337,"Raleigh, NC"
82,Holly Hill Hospital,1234,ng@gmail.com,hospital company,"3019 Falstaff Rd, Raleigh, NC 27610",35.782771999999994,-78.5839164,"Raleigh, NC"
83,Lexington Medical Center,1234,gh@gmail.com,hospital company,"2720 Sunset Blvd, West Columbia, SC 29169",34.0068841,-81.11376209999999,"West Columbia, SC"
84,St. Michael Medical Center,1234,ut@gmail.com,hospital company,"2520 Cherry Ave, Bremerton, WA 98310",47.5829409,-122.6251543,"Bainbridge Island, WA"
85,Swedish Primary Care,1234,as@gmail.com,hospital company,"945 Hildebrand Ln NE Suite 100, Bainbridge Island, WA 98110",47.633654299999996,-122.5177735,"Bainbridge Island, WA"
86,Virginia Mason Hospital and Seattle Medical Center,1234,dw@gmail.com,hospital company,"1100 9th Ave, Seattle, WA 98101",47.6094886,-122.327968,"Bainbridge Island, WA"
87,OHSU Hospital,1234,xz@gmail.com,hospital company,"3181 SW Sam Jackson Park Rd, Portland, OR 97239",45.498068599999996,-122.6850168,"Portland, OR"
88,Vibra Specialty Hospital of Portland,1234,cds@gmail.com,hospital company,"10300 NE Hancock St, Portland, OR 97220",45.5356684,-122.5565101,"Portland, OR"
89,Providence Portland Medical Center,1234,cd@gmail.com,hospital company,"4805 NE Glisan St, Portland, OR 97213",45.5281789,-122.61193909999999,"Portland, OR"
90,Legacy Emanuel Medical Center,1234,xs@gmail.com,hospital company,"2801 N Gantenbein Ave, Portland, OR 97227",45.5436861,-122.66954109999999,"Portland, OR"
91,Cost-U-Less Insurance,1234,rte@gmail.com,insurance company,"1152 N Capitol Ave, San Jose, CA 95132",37.38790170000001,-121.85998590000001,"San Jose, CA"
92,L V Insurance,1234,geg@gmail.com,insurance company,"1625 Flickinger Ave, San Jose, CA 95131",37.3901792,-121.87913059999998,"San Jose, CA"
93,Fred Loya Insurance,1234,dfg@gmail.com,insurance company,"154 S Jackson Ave, San Jose, CA 95116",37.3563654,-121.84082099999999,"San Jose, CA"
94,Texas Mutual Insurance Company,1234,fsf@gmail.com,insurance company,"2200 Aldrich St, Austin, TX 78723",30.301036800000002,-97.7035713,"Austin, TX"
95,Texas Life Insurance Co,1234,xcs@gmail.com,insurance company,"229 Parkhill St, Huntsville, TX 77340",30.706125699999998,-95.5336161,"Huntsville, TX"
96,Texas Insurance Place,1234,hy@gmail.com,insurance company,"4101 W Green Oaks Blvd ste 305-105, Arlington, TX 76016",32.6820499,-97.19489659999999,"Arlington, TX"
97,Island Insurance Hawaii,1234,bgf@gmail.com,insurance company,"1022 Bethel St, Honolulu, HI 96813",21.310191600000003,-157.8623647,"Honolulu, HI"
98,"First Insurance Company of Hawaii, LTD",1234,kyht@gmail.com,insurance company,"1100 Ward Ave, Honolulu, HI 96814",21.3035122,-157.8498528,"Honolulu, HI"
99,Farmers Insurance Hawaii,1234,g54@gmail.com,insurance company,"Six Waterfront Plaza, 500 Ala Moana Blvd 5th Floor, Honolulu, HI 96813",21.3018247,-157.8619678,"Honolulu, HI"
100,Insurance Company of Florida,1234,rge4@gmail.com,insurance company,"3751 Maryweather Ln #102, Wesley Chapel, FL 33544",28.211859399999998,-82.356133,"Wesley Chapel, FL"
101,Great Florida Insurance,1234,ef3@gmail.com,insurance company,"11362 Orange Blossom Trail, Orlando, FL 32837",28.400058,-81.4060582,"Orlando, FL"
102,Florida Peninsula Insurance Company,1234,yu6@gmail.com,insurance company,"903 NW 65th St, Boca Raton, FL 33487",26.406303,-80.10473209999999,"Boca Raton, FL"
103,Florida Family Insurance Co,1234,j76@gmail.com,insurance company,"27599 Riverview Center Blvd # 100, Bonita Springs, FL 34134",26.3397713,-81.8087294,"Bonita Springs, FL "
104,Westside Portland Insurance Company,1234,j767@gmail.com,insurance company,"1615 SE, SE Tualatin Valley Hwy STE.1, Hillsboro, OR 97123",45.5092931,-122.9661441,"Hillsboro, OR"
105,"Timmco Insurance, Inc.",1234,th6@gmail.com,insurance company,"1615 NE Broadway, Portland, OR 97232",45.535268200000004,-122.6490668,"Portland, OR"
106,Chet Hill Insurance,1234,he3@gmail.com,insurance company,"10402 NE Sandy Blvd, Portland, OR 97220",45.558747100000005,-122.55557479999999,"Portland, OR"
107,Vern Fonk Insurance,1234,jjg6@gmail.com,insurance company,"9955 SE Washington St Ste 103, Portland, OR 97216",45.5186054,-122.56098200000001,"Portland, OR"
108,WelPland Insurance,1234,hfgr5@gmail.com,insurance company,"5845 SE 82nd Ave, Portland, OR 97266",45.4802632,-122.57927140000001,"Portland, OR"
109,Guardian Life Insurance Company of America,1234,rgrt3@gmail.com,insurance company,"3435 Wilshire Blvd Suite 1550, Los Angeles, CA 90010",34.0622654,-118.2984956,"Los Angeles, CA "
110,Public Insurance Agency,1234,fgr5@gmail.com,insurance company,"10941 W Pico Blvd, Los Angeles, CA 90064",34.039235999999995,-118.43103700000002,"Los Angeles, CA"
111,Greater New York Insurance Co,1234,hrt4@gmail.com,insurance company,"200 Madison Ave #3, New York, NY 10016",40.749138,-73.98259329999999,"New York, NY"
112,New York Life Insurance Company,1234,gerf3@gmail.com,insurance company,"1 MetroTech Center 17th floor, Brooklyn, NY 11201",40.6932748,-73.9866898,"Brooklyn, NY"
113,"Rizzo Insurance Group, Inc.",1234,nrt4@gmail.com,insurance company,"310 Broadway, Revere, MA 02151",42.4089016,-71.01360720000001,"Revere, MA"
114,Boston Mutual Life Insurance Company,1234,ger4@gmail.com,insurance company,"120 Royall St, Canton, MA 02021",42.204151,-71.1291713,"Canton, MA"
115,John Hancock Life Insurance Co,1234,th6@gmail.com,insurance company,"200 Berkeley St #1, Boston, MA 02116",42.3498585,-71.0727563,"Boston, MA"
116,Lordea Home Insurance,1234,regr3@gmail.com,insurance company,"290 Bennington St, Boston, MA 02128",42.378997,-71.0285815,"Boston, MA "
117,Point Insurance,1234,gerg4@gmail.com,insurance company,"1103 Commonwealth Avenue, Boston, MA 02215",42.3519424,-71.12547740000001,"Boston, MA"
118,Winmore Insurance Solutions LLC.,1234,fd4@gmail.com,insurance company,"4152 W Armitage Ave, Chicago, IL 60639",41.917378,-87.73110600000001,"Chicago, IL"
119,Pro Insurance Group,1234,gd3@gmail.com,insurance company,"2521 Technology Dr Suite 201, Elgin, IL 60124",42.0898523,-88.3392642,"Elgin, IL"
120,Eagle Insurance,1234,fdh4@gmail.com,insurance company,"2433 W 79th St, Chicago, IL 60652",41.749888299999995,-87.68423390000001,"Chicago, IL"
121,admin,admin,admin@gmail.com,admin,"2433 W 79th St, Chicago, IL 60652",41.749888299999995,-87.68423390000001,"Chicago, IL"
